Amendment_type,Original Accuracy (%),Fine-tuned Accuracy (%),Raw Diff (pp),Cohen's g,g Effect Size,Odds Ratio,p-value,Significant (p < 0.05),p-value (FDR corrected),Significant (FDR),Model,Dataset,Test_Type
"relation:hierarchical_up
original",91.94,93.55,1.61,0.577,Large,0.71,0.7744,No,0.9268,No,llama-70b,disinfo,Normal
"stake:high
original",92.74,85.48,-7.26,2.324,Large,4.00,0.0352,Yes,0.2351,No,llama-70b,disinfo,Normal
"stake:low
original",89.52,95.16,5.65,1.807,Large,0.36,0.1185,No,0.2666,No,llama-70b,disinfo,Normal
"unmodified
original_combined",91.94,90.32,-1.61,0.447,Medium,1.22,0.8238,No,0.9268,No,llama-70b,disinfo,Normal
"emotion:anger
original",58.63,52.21,-6.43,2.514,Large,1.49,0.0146,Yes,0.0188,Yes,llama-70b,medqa,Normal
"emotion:happy
original",63.86,56.43,-7.43,2.916,Large,1.60,0.0044,Yes,0.0066,Yes,llama-70b,medqa,Normal
"emotion:sad
original",60.24,43.41,-16.84,6.274,Large,2.80,0.0000,Yes,0.0000,Yes,llama-70b,medqa,Normal
"relation:close
original",63.65,58.63,-5.02,2.062,Large,1.41,0.0474,Yes,0.0533,No,llama-70b,medqa,Normal
"relation:hierarchical_down
original",63.49,53.35,-10.14,4.082,Large,2.00,0.0001,Yes,0.0002,Yes,llama-70b,medqa,Normal
"relation:hierarchical_up
original",59.36,57.55,-1.81,0.758,Large,1.14,0.5006,No,0.5006,No,llama-70b,medqa,Normal
"stake:high
original",60.99,52.36,-8.62,3.500,Large,1.82,0.0006,Yes,0.0011,Yes,llama-70b,medqa,Normal
"stake:low
original",64.50,54.56,-9.94,3.936,Large,1.92,0.0001,Yes,0.0003,Yes,llama-70b,medqa,Normal
"unmodified
original_combined",63.43,53.94,-9.49,3.825,Large,1.90,0.0002,Yes,0.0004,Yes,llama-70b,medqa,Normal
"emotion:anger
original",87.60,79.60,-8.00,4.417,Large,2.90,0.0000,Yes,0.0001,Yes,llama-70b,trivia,Normal
"emotion:happy
original",88.98,82.36,-6.61,3.667,Large,2.38,0.0003,Yes,0.0007,Yes,llama-70b,trivia,Normal
"emotion:sad
original",89.20,78.40,-10.80,5.963,Large,4.86,0.0000,Yes,0.0000,Yes,llama-70b,trivia,Normal
"relation:close
original",88.55,82.73,-5.82,3.597,Large,2.61,0.0004,Yes,0.0008,Yes,llama-70b,trivia,Normal
"relation:hierarchical_down
original",85.74,81.47,-4.28,2.393,Large,1.75,0.0220,Yes,0.0220,Yes,llama-70b,trivia,Normal
"relation:hierarchical_up
original",87.78,80.76,-7.01,4.096,Large,2.84,0.0001,Yes,0.0002,Yes,llama-70b,trivia,Normal
"stake:high
original",85.25,80.12,-5.12,2.712,Large,1.83,0.0088,Yes,0.0099,Yes,llama-70b,trivia,Normal
"stake:low
original",86.77,81.76,-5.01,2.712,Large,1.83,0.0088,Yes,0.0099,Yes,llama-70b,trivia,Normal
"unmodified
original_combined",86.16,80.79,-5.37,2.837,Large,1.90,0.0060,Yes,0.0091,Yes,llama-70b,trivia,Normal
"emotion:anger
original",68.42,66.19,-2.23,0.984,Large,1.19,0.3712,No,0.3712,No,llama-70b,truthfulqa,Normal
"emotion:happy
original",72.12,66.06,-6.06,2.652,Large,1.61,0.0101,Yes,0.0227,Yes,llama-70b,truthfulqa,Normal
"emotion:sad
original",72.27,62.35,-9.92,4.249,Large,2.17,0.0000,Yes,0.0002,Yes,llama-70b,truthfulqa,Normal
"relation:close
original",72.47,67.21,-5.26,2.335,Large,1.53,0.0244,Yes,0.0366,Yes,llama-70b,truthfulqa,Normal
"relation:hierarchical_down
original",77.13,69.23,-7.90,3.691,Large,2.12,0.0003,Yes,0.0013,Yes,llama-70b,truthfulqa,Normal
"relation:hierarchical_up
original",71.75,65.85,-5.89,2.534,Large,1.57,0.0141,Yes,0.0254,Yes,llama-70b,truthfulqa,Normal
"stake:high
original",69.15,64.55,-4.60,1.849,Large,1.39,0.0778,No,0.1001,No,llama-70b,truthfulqa,Normal
"stake:low
original",76.66,69.01,-7.65,3.469,Large,1.93,0.0007,Yes,0.0020,Yes,llama-70b,truthfulqa,Normal
"unmodified
original_combined",71.75,69.07,-2.68,1.136,Large,1.22,0.2944,No,0.3312,No,llama-70b,truthfulqa,Normal
"emotion:anger
original",95.16,94.35,-0.81,0.333,Medium,1.25,1.0000,No,1.0000,No,llama-8b,disinfo,Normal
"emotion:happy
original",93.55,91.13,-2.42,0.832,Large,1.60,0.5811,No,1.0000,No,llama-8b,disinfo,Normal
"emotion:sad
original",93.55,91.94,-1.61,0.577,Large,1.40,0.7744,No,1.0000,No,llama-8b,disinfo,Normal
"relation:close
original",96.77,95.16,-1.61,0.816,Large,2.00,0.6875,No,1.0000,No,llama-8b,disinfo,Normal
"relation:hierarchical_down
original",92.74,92.74,0.00,0.000,Small,1.00,1.0000,No,1.0000,No,llama-8b,disinfo,Normal
"relation:hierarchical_up
original",95.16,93.55,-1.61,0.632,Large,1.50,0.7539,No,1.0000,No,llama-8b,disinfo,Normal
"stake:high
original",88.71,90.32,1.61,0.426,Medium,0.83,0.8318,No,1.0000,No,llama-8b,disinfo,Normal
"stake:low
original",95.16,89.52,-5.65,2.111,Large,4.50,0.0654,No,0.5889,No,llama-8b,disinfo,Normal
"unmodified
original_combined",95.16,91.13,-4.03,1.667,Large,3.50,0.1797,No,0.8086,No,llama-8b,disinfo,Normal
"emotion:anger
original",48.57,31.87,-16.70,5.762,Large,2.55,0.0000,Yes,0.0000,Yes,llama-8b,medqa,Normal
"emotion:happy
original",44.51,35.98,-8.54,3.407,Large,1.76,0.0008,Yes,0.0019,Yes,llama-8b,medqa,Normal
"emotion:sad
original",45.09,20.33,-24.77,8.277,Large,4.66,0.0000,Yes,0.0000,Yes,llama-8b,medqa,Normal
"relation:close
original",48.80,36.55,-12.25,4.807,Large,2.22,0.0000,Yes,0.0000,Yes,llama-8b,medqa,Normal
"relation:hierarchical_down
original",45.40,38.04,-7.36,2.777,Large,1.55,0.0068,Yes,0.0101,Yes,llama-8b,medqa,Normal
"relation:hierarchical_up
original",45.06,40.95,-4.12,1.581,Large,1.29,0.1328,No,0.1494,No,llama-8b,medqa,Normal
"stake:high
original",41.78,33.87,-7.91,3.113,Large,1.66,0.0023,Yes,0.0042,Yes,llama-8b,medqa,Normal
"stake:low
original",47.98,45.77,-2.22,0.907,Large,1.16,0.4096,No,0.4096,No,llama-8b,medqa,Normal
"unmodified
original_combined",47.39,52.41,5.02,1.912,Large,0.74,0.0661,No,0.0850,No,llama-8b,medqa,Normal
"emotion:anger
original",72.04,72.48,0.45,0.243,Medium,0.94,0.9036,No,0.9036,No,llama-8b,trivia,Normal
"emotion:happy
original",72.60,75.26,2.66,1.588,Large,0.68,0.1421,No,0.3197,No,llama-8b,trivia,Normal
"emotion:sad
original",78.05,67.83,-10.22,4.500,Large,2.95,0.0000,Yes,0.0001,Yes,llama-8b,trivia,Normal
"relation:close
original",74.04,72.64,-1.41,0.819,Large,1.21,0.4828,No,0.6562,No,llama-8b,trivia,Normal
"relation:hierarchical_down
original",78.02,72.84,-5.17,2.910,Large,2.09,0.0049,Yes,0.0221,Yes,llama-8b,trivia,Normal
"relation:hierarchical_up
original",75.20,74.19,-1.01,0.577,Large,1.14,0.6445,No,0.7250,No,llama-8b,trivia,Normal
"stake:high
original",73.18,71.59,-1.59,0.768,Large,1.18,0.5104,No,0.6562,No,llama-8b,trivia,Normal
"stake:low
original",76.00,74.11,-1.89,1.134,Large,1.33,0.3135,No,0.5643,No,llama-8b,trivia,Normal
"unmodified
original_combined",75.62,70.62,-5.00,2.558,Large,1.75,0.0138,Yes,0.0413,Yes,llama-8b,trivia,Normal
"emotion:anger
original",66.83,59.80,-7.04,2.746,Large,1.74,0.0078,Yes,0.0351,Yes,llama-8b,truthfulqa,Normal
"emotion:happy
original",63.96,61.67,-2.29,0.992,Large,1.20,0.3673,No,0.4218,No,llama-8b,truthfulqa,Normal
"emotion:sad
original",67.25,51.89,-15.37,5.371,Large,2.79,0.0000,Yes,0.0000,Yes,llama-8b,truthfulqa,Normal
"relation:close
original",62.50,57.76,-4.74,1.833,Large,1.36,0.0798,No,0.2393,No,llama-8b,truthfulqa,Normal
"relation:hierarchical_down
original",65.25,62.92,-2.33,0.976,Large,1.19,0.3750,No,0.4218,No,llama-8b,truthfulqa,Normal
"relation:hierarchical_up
original",62.74,59.74,-3.00,1.300,Large,1.27,0.2273,No,0.3688,No,llama-8b,truthfulqa,Normal
"stake:high
original",55.83,56.91,1.08,0.371,Medium,0.93,0.7807,No,0.7807,No,llama-8b,truthfulqa,Normal
"stake:low
original",67.70,64.18,-3.52,1.558,Large,1.33,0.1421,No,0.3198,No,llama-8b,truthfulqa,Normal
"unmodified
original_combined",64.48,67.23,2.75,1.257,Large,0.78,0.2459,No,0.3688,No,llama-8b,truthfulqa,Normal
"emotion:anger
original",99.18,96.72,-2.46,1.732,Large,∞,0.2500,No,0.7500,No,gpt-4o,disinfo,Normal
"emotion:happy
original",99.18,96.72,-2.46,1.732,Large,∞,0.2500,No,0.7500,No,gpt-4o,disinfo,Normal
"emotion:sad
original",98.36,96.72,-1.64,1.414,Large,∞,0.5000,No,0.9000,No,gpt-4o,disinfo,Normal
"relation:close
original",97.54,97.54,0.00,0.000,Small,1.00,1.0000,No,1.0000,No,gpt-4o,disinfo,Normal
"relation:hierarchical_down
original",98.36,98.36,0.00,0.000,Small,1.00,1.0000,No,1.0000,No,gpt-4o,disinfo,Normal
"relation:hierarchical_up
original",97.54,95.90,-1.64,1.414,Large,∞,0.5000,No,0.9000,No,gpt-4o,disinfo,Normal
"stake:high
original",97.54,97.54,0.00,0.000,Small,1.00,1.0000,No,1.0000,No,gpt-4o,disinfo,Normal
"stake:low
original",98.36,97.54,-0.82,1.000,Large,∞,1.0000,No,1.0000,No,gpt-4o,disinfo,Normal
"unmodified
original_combined",98.36,95.90,-2.46,1.732,Large,∞,0.2500,No,0.7500,No,gpt-4o,disinfo,Normal
"emotion:anger
original",83.97,79.36,-4.61,2.621,Large,1.85,0.0117,Yes,0.0131,Yes,gpt-4o,medqa,Normal
"emotion:happy
original",83.77,78.56,-5.21,3.250,Large,2.37,0.0016,Yes,0.0027,Yes,gpt-4o,medqa,Normal
"emotion:sad
original",82.97,80.56,-2.40,1.434,Large,1.41,0.1882,No,0.1882,No,gpt-4o,medqa,Normal
"relation:close
original",83.37,77.35,-6.01,3.354,Large,2.20,0.0011,Yes,0.0024,Yes,gpt-4o,medqa,Normal
"relation:hierarchical_down
original",83.94,76.83,-7.11,4.154,Large,2.94,0.0000,Yes,0.0003,Yes,gpt-4o,medqa,Normal
"relation:hierarchical_up
original",83.40,78.00,-5.40,3.118,Large,2.12,0.0024,Yes,0.0031,Yes,gpt-4o,medqa,Normal
"stake:high
original",83.57,77.56,-6.01,3.198,Large,2.03,0.0018,Yes,0.0027,Yes,gpt-4o,medqa,Normal
"stake:low
original",85.86,79.39,-6.46,3.825,Large,2.68,0.0002,Yes,0.0005,Yes,gpt-4o,medqa,Normal
"unmodified
original_combined",83.74,77.64,-6.10,3.873,Large,3.00,0.0001,Yes,0.0005,Yes,gpt-4o,medqa,Normal
"emotion:anger
original",95.19,94.79,-0.40,0.535,Large,1.33,0.7905,No,0.8893,No,gpt-4o,trivia,Normal
"emotion:happy
original",95.59,94.79,-0.80,1.155,Large,2.00,0.3877,No,0.6817,No,gpt-4o,trivia,Normal
"emotion:sad
original",95.40,93.60,-1.80,1.964,Large,2.50,0.0784,No,0.3526,No,gpt-4o,trivia,Normal
"relation:close
original",96.00,94.40,-1.60,2.309,Large,5.00,0.0386,Yes,0.3472,No,gpt-4o,trivia,Normal
"relation:hierarchical_down
original",95.59,94.59,-1.00,1.147,Large,1.71,0.3593,No,0.6817,No,gpt-4o,trivia,Normal
"relation:hierarchical_up
original",95.60,95.00,-0.60,0.832,Large,1.60,0.5811,No,0.7471,No,gpt-4o,trivia,Normal
"stake:high
original",95.59,94.79,-0.80,1.000,Large,1.67,0.4545,No,0.6817,No,gpt-4o,trivia,Normal
"stake:low
original",95.40,95.20,-0.20,0.258,Medium,1.14,1.0000,No,1.0000,No,gpt-4o,trivia,Normal
"unmodified
original_combined",95.20,94.00,-1.20,1.604,Large,2.50,0.1796,No,0.5387,No,gpt-4o,trivia,Normal
"emotion:anger
original",86.49,82.26,-4.23,2.566,Large,1.91,0.0139,Yes,0.0209,Yes,gpt-4o,truthfulqa,Normal
"emotion:happy
original",87.90,82.86,-5.04,3.434,Large,2.79,0.0008,Yes,0.0024,Yes,gpt-4o,truthfulqa,Normal
"emotion:sad
original",86.06,82.83,-3.23,1.912,Large,1.59,0.0722,No,0.0929,No,gpt-4o,truthfulqa,Normal
"relation:close
original",87.27,84.24,-3.03,1.833,Large,1.58,0.0864,No,0.0972,No,gpt-4o,truthfulqa,Normal
"relation:hierarchical_down
original",88.14,83.05,-5.08,2.910,Large,2.09,0.0049,Yes,0.0110,Yes,gpt-4o,truthfulqa,Normal
"relation:hierarchical_up
original",86.64,85.22,-1.42,0.855,Large,1.23,0.4638,No,0.4638,No,gpt-4o,truthfulqa,Normal
"stake:high
original",86.21,81.34,-4.87,2.828,Large,2.00,0.0063,Yes,0.0114,Yes,gpt-4o,truthfulqa,Normal
"stake:low
original",89.59,83.88,-5.71,3.615,Large,2.75,0.0004,Yes,0.0018,Yes,gpt-4o,truthfulqa,Normal
"unmodified
original_combined",90.10,83.51,-6.60,3.939,Large,2.88,0.0001,Yes,0.0009,Yes,gpt-4o,truthfulqa,Normal
"emotion:anger
original",98.39,93.55,-4.84,1.897,Large,4.00,0.1094,No,0.1230,No,mistral-small,disinfo,Normal
"emotion:happy
original",98.39,91.94,-6.45,2.309,Large,5.00,0.0386,Yes,0.0579,No,mistral-small,disinfo,Normal
"emotion:sad
original",97.58,95.16,-2.42,1.134,Large,2.50,0.4531,No,0.4531,No,mistral-small,disinfo,Normal
"relation:close
original",98.39,88.71,-9.68,3.000,Large,7.00,0.0042,Yes,0.0125,Yes,mistral-small,disinfo,Normal
"relation:hierarchical_down
original",97.58,89.52,-8.06,2.887,Large,11.00,0.0063,Yes,0.0143,Yes,mistral-small,disinfo,Normal
"relation:hierarchical_up
original",97.58,91.13,-6.45,2.138,Large,3.67,0.0574,No,0.0738,No,mistral-small,disinfo,Normal
"stake:high
original",97.58,85.48,-12.10,3.873,Large,∞,0.0001,Yes,0.0005,Yes,mistral-small,disinfo,Normal
"stake:low
original",98.39,91.13,-7.26,2.714,Large,10.00,0.0117,Yes,0.0211,Yes,mistral-small,disinfo,Normal
"unmodified
original_combined",97.58,88.71,-8.87,3.051,Large,12.00,0.0034,Yes,0.0125,Yes,mistral-small,disinfo,Normal
"emotion:anger
original",60.61,44.24,-16.36,6.727,Large,3.53,0.0000,Yes,0.0000,Yes,mistral-small,medqa,Normal
"emotion:happy
original",62.75,42.11,-20.65,7.869,Large,4.09,0.0000,Yes,0.0000,Yes,mistral-small,medqa,Normal
"emotion:sad
original",61.49,46.37,-15.12,6.228,Large,3.14,0.0000,Yes,0.0000,Yes,mistral-small,medqa,Normal
"relation:close
original",64.78,46.15,-18.62,7.462,Large,4.07,0.0000,Yes,0.0000,Yes,mistral-small,medqa,Normal
"relation:hierarchical_down
original",63.54,40.73,-22.81,8.540,Large,4.73,0.0000,Yes,0.0000,Yes,mistral-small,medqa,Normal
"relation:hierarchical_up
original",64.78,45.95,-18.83,7.329,Large,3.74,0.0000,Yes,0.0000,Yes,mistral-small,medqa,Normal
"stake:high
original",60.00,41.82,-18.18,7.252,Large,3.81,0.0000,Yes,0.0000,Yes,mistral-small,medqa,Normal
"stake:low
original",65.04,45.12,-19.92,7.516,Large,3.72,0.0000,Yes,0.0000,Yes,mistral-small,medqa,Normal
"unmodified
original_combined",65.79,42.91,-22.87,9.196,Large,6.95,0.0000,Yes,0.0000,Yes,mistral-small,medqa,Normal
"emotion:anger
original",86.64,84.41,-2.23,1.808,Large,1.85,0.0989,No,0.0989,No,mistral-small,trivia,Normal
"emotion:happy
original",86.75,84.14,-2.61,1.938,Large,1.81,0.0725,No,0.0815,No,mistral-small,trivia,Normal
"emotion:sad
original",88.00,83.60,-4.40,3.175,Large,2.69,0.0021,Yes,0.0047,Yes,mistral-small,trivia,Normal
"relation:close
original",87.68,84.04,-3.64,2.777,Large,2.50,0.0079,Yes,0.0119,Yes,mistral-small,trivia,Normal
"relation:hierarchical_down
original",87.30,82.79,-4.51,3.111,Large,2.57,0.0026,Yes,0.0047,Yes,mistral-small,trivia,Normal
"relation:hierarchical_up
original",86.72,83.90,-2.82,2.401,Large,2.40,0.0243,Yes,0.0313,Yes,mistral-small,trivia,Normal
"stake:high
original",87.70,81.45,-6.25,4.180,Large,3.58,0.0000,Yes,0.0001,Yes,mistral-small,trivia,Normal
"stake:low
original",89.00,81.67,-7.33,4.992,Large,5.50,0.0000,Yes,0.0000,Yes,mistral-small,trivia,Normal
"unmodified
original_combined",88.08,80.61,-7.47,5.082,Large,5.62,0.0000,Yes,0.0000,Yes,mistral-small,trivia,Normal
"emotion:anger
original",75.71,62.15,-13.56,5.945,Large,3.23,0.0000,Yes,0.0000,Yes,mistral-small,truthfulqa,Normal
"emotion:happy
original",76.16,58.59,-17.58,7.176,Large,3.90,0.0000,Yes,0.0000,Yes,mistral-small,truthfulqa,Normal
"emotion:sad
original",79.47,64.63,-14.84,6.749,Large,4.32,0.0000,Yes,0.0000,Yes,mistral-small,truthfulqa,Normal
"relation:close
original",73.78,60.57,-13.21,5.594,Large,2.86,0.0000,Yes,0.0000,Yes,mistral-small,truthfulqa,Normal
"relation:hierarchical_down
original",76.74,60.04,-16.70,6.701,Large,3.63,0.0000,Yes,0.0000,Yes,mistral-small,truthfulqa,Normal
"relation:hierarchical_up
original",78.35,63.71,-14.64,6.066,Large,3.15,0.0000,Yes,0.0000,Yes,mistral-small,truthfulqa,Normal
"stake:high
original",74.84,61.54,-13.31,5.157,Large,2.42,0.0000,Yes,0.0000,Yes,mistral-small,truthfulqa,Normal
"stake:low
original",80.45,62.53,-17.92,7.659,Large,5.00,0.0000,Yes,0.0000,Yes,mistral-small,truthfulqa,Normal
"unmodified
original_combined",80.41,58.57,-21.84,8.948,Large,6.94,0.0000,Yes,0.0000,Yes,mistral-small,truthfulqa,Normal
"emotion:anger
original",98.36,73.77,-24.59,5.303,Large,31.00,0.0000,Yes,0.0000,Yes,qwen-32b,disinfo,Normal
"emotion:happy
original",98.36,90.98,-7.38,2.714,Large,10.00,0.0117,Yes,0.0176,Yes,qwen-32b,disinfo,Normal
"emotion:sad
original",99.18,72.13,-27.05,5.745,Large,∞,0.0000,Yes,0.0000,Yes,qwen-32b,disinfo,Normal
"relation:close
original",96.72,90.16,-6.56,2.530,Large,9.00,0.0215,Yes,0.0242,Yes,qwen-32b,disinfo,Normal
"relation:hierarchical_down
original",98.36,90.98,-7.38,3.000,Large,∞,0.0039,Yes,0.0070,Yes,qwen-32b,disinfo,Normal
"relation:hierarchical_up
original",96.72,91.80,-4.92,1.732,Large,3.00,0.1460,No,0.1460,No,qwen-32b,disinfo,Normal
"stake:high
original",98.36,81.97,-16.39,4.082,Large,11.00,0.0000,Yes,0.0001,Yes,qwen-32b,disinfo,Normal
"stake:low
original",96.72,90.16,-6.56,2.530,Large,9.00,0.0215,Yes,0.0242,Yes,qwen-32b,disinfo,Normal
"unmodified
original_combined",98.36,88.52,-9.84,3.207,Large,13.00,0.0018,Yes,0.0041,Yes,qwen-32b,disinfo,Normal
"emotion:anger
original",69.22,59.36,-9.86,4.281,Large,2.20,0.0000,Yes,0.0001,Yes,qwen-32b,medqa,Normal
"emotion:happy
original",67.74,60.08,-7.66,3.528,Large,1.97,0.0005,Yes,0.0007,Yes,qwen-32b,medqa,Normal
"emotion:sad
original",66.93,50.50,-16.43,6.565,Large,3.22,0.0000,Yes,0.0000,Yes,qwen-32b,medqa,Normal
"relation:close
original",66.73,56.11,-10.62,4.942,Large,2.71,0.0000,Yes,0.0000,Yes,qwen-32b,medqa,Normal
"relation:hierarchical_down
original",66.27,58.03,-8.23,3.790,Large,2.08,0.0002,Yes,0.0003,Yes,qwen-32b,medqa,Normal
"relation:hierarchical_up
original",66.20,63.18,-3.02,1.399,Large,1.30,0.1915,No,0.1915,No,qwen-32b,medqa,Normal
"stake:high
original",64.86,60.04,-4.82,2.121,Large,1.46,0.0416,Yes,0.0468,Yes,qwen-32b,medqa,Normal
"stake:low
original",69.45,59.67,-9.78,4.496,Large,2.45,0.0000,Yes,0.0000,Yes,qwen-32b,medqa,Normal
"unmodified
original_combined",66.67,57.17,-9.49,4.015,Large,2.04,0.0001,Yes,0.0001,Yes,qwen-32b,medqa,Normal
"emotion:anger
original",79.00,72.00,-7.00,4.214,Large,3.06,0.0000,Yes,0.0001,Yes,qwen-32b,trivia,Normal
"emotion:happy
original",79.00,77.00,-2.00,1.313,Large,1.42,0.2370,No,0.2667,No,qwen-32b,trivia,Normal
"emotion:sad
original",79.16,68.94,-10.22,5.532,Large,4.00,0.0000,Yes,0.0000,Yes,qwen-32b,trivia,Normal
"relation:close
original",80.80,75.60,-5.20,3.538,Large,2.86,0.0005,Yes,0.0010,Yes,qwen-32b,trivia,Normal
"relation:hierarchical_down
original",79.23,75.15,-4.07,2.887,Large,2.43,0.0055,Yes,0.0071,Yes,qwen-32b,trivia,Normal
"relation:hierarchical_up
original",78.16,76.95,-1.20,0.905,Large,1.32,0.4514,No,0.4514,No,qwen-32b,trivia,Normal
"stake:high
original",79.03,74.19,-4.84,3.151,Large,2.41,0.0022,Yes,0.0033,Yes,qwen-32b,trivia,Normal
"stake:low
original",81.29,76.06,-5.23,3.753,Large,3.36,0.0002,Yes,0.0007,Yes,qwen-32b,trivia,Normal
"unmodified
original_combined",80.89,75.20,-5.69,3.677,Large,2.87,0.0003,Yes,0.0007,Yes,qwen-32b,trivia,Normal
"emotion:anger
original",78.43,58.06,-20.36,8.388,Large,5.59,0.0000,Yes,0.0000,Yes,qwen-32b,truthfulqa,Normal
"emotion:happy
original",83.88,67.76,-16.12,7.567,Large,6.27,0.0000,Yes,0.0000,Yes,qwen-32b,truthfulqa,Normal
"emotion:sad
original",81.10,51.42,-29.67,11.198,Large,13.17,0.0000,Yes,0.0000,Yes,qwen-32b,truthfulqa,Normal
"relation:close
original",78.39,67.58,-10.81,4.930,Large,2.82,0.0000,Yes,0.0000,Yes,qwen-32b,truthfulqa,Normal
"relation:hierarchical_down
original",83.90,71.40,-12.50,6.185,Large,4.69,0.0000,Yes,0.0000,Yes,qwen-32b,truthfulqa,Normal
"relation:hierarchical_up
original",82.09,70.79,-11.30,5.172,Large,3.04,0.0000,Yes,0.0000,Yes,qwen-32b,truthfulqa,Normal
"stake:high
original",78.73,55.42,-23.31,9.127,Large,6.43,0.0000,Yes,0.0000,Yes,qwen-32b,truthfulqa,Normal
"stake:low
original",84.69,69.18,-15.51,6.996,Large,4.62,0.0000,Yes,0.0000,Yes,qwen-32b,truthfulqa,Normal
"unmodified
original_combined",84.81,71.10,-13.71,6.343,Large,4.25,0.0000,Yes,0.0000,Yes,qwen-32b,truthfulqa,Normal
